Condition,FixationDur,textPrompt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,preinstruc_text.started,preinstruc_text.stopped,instructFig.started,instructFig.stopped,PrepFixation.started,PrepFixation.stopped,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,AdjRTmsg,polygon.started,polygon.stopped,text.started,text.stopped,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,win $0.20,0,0,0,0,12.438177331001498,None,15.471313540001574,None,16.837852792006743,None,TimeVersion_practice.csv,18.85744722900563,None,2000,20.855887900004745,None,None,20.855887900004745,None,1.65,[0.21237342200038256],1,22.888607007000246,None,1,1,0.21237342200038256,22.888607007000246,None,You won $0.20!,0.2,2,1,0.35,100.0,0.21237342200038256,[1],0,0,3,23.205622127003153,None,,,,,,0006,Practice,1,2019_Aug_19_1643,MID,3.1.5,59.89866786577089,
LgReward,2000,win $5.00,0,1,1,1,,,,,,,,24.855697714003327,None,2000,26.856241818000854,None,None,26.856241818000854,None,1.65,"[0.21237342200038256, 0.2660286120008095]",2,28.874739101003797,None,1,1,0.2660286120008095,28.874739101003797,None,You won $5.00!,5.2,1,2,0.35,100.0,0.23920101700059604,"[1, 1]",0,0,3,29.189759756001877,None,,,,,,0006,Practice,1,2019_Aug_19_1643,MID,3.1.5,59.89866786577089,
SmallPun,2000,lose $0.20,0,2,2,2,,,,,,,,30.839091111003654,None,2000,32.859047536003345,None,None,32.859047536003345,None,1.65,"[0.21237342200038256, 0.2660286120008095, 0.25996239200321725]",3,34.87279242800287,None,1,1,0.25996239200321725,34.87279242800287,None,You did not lose $0.20!,5.2,5,3,0.3,100.0,0.2461214753348031,[],100.0,3,3,35.18928951900307,None,Adjusting RT...,,,,,0006,Practice,1,2019_Aug_19_1643,MID,3.1.5,59.89866786577089,
LgPun,2000,lose $5.00,0,3,3,3,,,,,,,,36.83915298100328,None,2000,38.858820975001436,None,None,38.858820975001436,None,1.7,"[0.21237342200038256, 0.2660286120008095, 0.25996239200321725, 0.19546423500287347]",4,40.87350945700018,None,1,1,0.19546423500287347,40.87350945700018,None,You did not lose $5.00!,5.2,4,4,0.3,100.0,0.2334571652518207,[1],100.0,3,3,41.13966666000488,None,,,,,,0006,Practice,1,2019_Aug_19_1643,MID,3.1.5,59.89866786577089,
Triangle,2000,not win or lose money,0,4,4,4,,,,,,,,42.83920495000348,None,2000,44.87395760200161,None,None,44.87395760200161,None,1.7,"[0.21237342200038256, 0.2660286120008095, 0.25996239200321725, 0.19546423500287347, 0.2273022969966405]",5,46.87361012400652,None,1,1,0.2273022969966405,46.87361012400652,None,You did not win or lose anything!,5.2,3,4,0.3,100.0,0.23222619160078467,[1],100.0,3,3,47.15742420400056,None,,,,,,0006,Practice,1,2019_Aug_19_1643,MID,3.1.5,59.89866786577089,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0006,Practice,1,2019_Aug_19_1643,MID,3.1.5,59.89866786577089,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8404639060027,None,53.84091872200224,None,,,,,,,,
