cue,probe,feedbackText,condition,corrResp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,jitterTarget,jitter,fixationResp.keys,fixationResp.rt,feedbackDur,probeResp.keys,probeResp.corr,probeResp.rt,participant,session,date,expName,psychopyVersion,frameRate,
images/WinBig.BMP,images/WinProbe.BMP,You won $5.00,WinBig,space,0,0,0,3,0.324,1.973,space,1.2714200189802796,1.676,None,0,,,001,2019_Apr_12_1209,MID,3.0.7,59.389773882440984,
images/LoseSmall.BMP,images/LoseProbe.BMP,You lost $0.20,LoseSmall,None,0,1,1,1,0.466,3.443,None,,1.534,space,0,0.23404690000461414,,001,2019_Apr_12_1209,MID,3.0.7,59.389773882440984,
images/Neutral.BMP,images/NeutralProbe.BMP,No win or loss,Neutral,space,0,2,2,2,0.447,3.66,None,,1.553,space,1,0.23780168301891536,,001,2019_Apr_12_1209,MID,3.0.7,59.389773882440984,
images/LoseBig.BMP,images/LoseProbe.BMP,You lost $5.00,LoseBig,None,0,3,3,0,0.434,3.665,None,,1.566,space,0,0.20440914598293602,,001,2019_Apr_12_1209,MID,3.0.7,59.389773882440984,
